name,value,year,last value,rank
/pokemon-sun-pokemon-moon/,6227261,201611,6227261,0
/the-elder-scrolls-5-skyrim/,5270997,201611,5270997,1
/gta-5/,3936117,201611,3936117,2
/black-friday-cyber-monday/,2276127,201611,2276127,3
/the-witcher-3-wild-hunt/,1969348,201611,1969348,4
/dishonored-2/,1462672,201611,1462672,5
/fallout-4/,1245542,201611,1245542,6
/pokemon-omega-ruby-alpha-sapphire/,902129,201611,902129,7
/pokemon-go/,856312,201611,856312,8
/metal-gear-solid-5-the-phantom-pain/,601016,201611,601016,9
/final-fantasy-15/,8067221,201612,na,0
/pokemon-sun-pokemon-moon/,6482267,201612,6227261,1
/gta-5/,6379833,201612,3936117,2
/the-elder-scrolls-5-skyrim/,4830429,201612,5270997,3
/the-witcher-3-wild-hunt/,2821646,201612,1969348,4
/best-of-2016-awards/,1705811,201612,na,5
/fallout-4/,1586438,201612,1245542,6
/dishonored-2/,1133577,201612,1462672,7
/metal-gear-solid-5-the-phantom-pain/,917503,201612,601016,8
/pokemon-omega-ruby-alpha-sapphire/,751056,201612,902129,9
/gta-5/,7159906,201701,6379833,0
/final-fantasy-15/,7006400,201701,8067221,1
/the-elder-scrolls-5-skyrim/,4363951,201701,4830429,2
/pokemon-sun-pokemon-moon/,3954182,201701,6482267,3
/the-witcher-3-wild-hunt/,3549857,201701,2821646,4
/best-of-2016-awards/,2564499,201701,1705811,5
/fallout-4/,1764688,201701,1586438,6
/metal-gear-solid-5-the-phantom-pain/,1073008,201701,917503,7
/dishonored-2/,987468,201701,1133577,8
/resident-evil-7/,930121,201701,#N/A,9
/gta-5/,5702077,201702,7159906,0
/final-fantasy-15/,3494643,201702,7006400,1
/the-elder-scrolls-5-skyrim/,3013462,201702,4363951,2
/the-witcher-3-wild-hunt/,2951014,201702,3549857,3
/pokemon-go/,2344255,201702,#N/A,4
/pokemon-sun-pokemon-moon/,1886448,201702,3954182,5
/fallout-4/,1526374,201702,1764688,6
/resident-evil-7/,1402142,201702,930121,7
/nioh/,1031892,201702,#N/A,8
/metal-gear-solid-5-the-phantom-pain/,907360,201702,1073008,9
/the-legend-of-zelda-breath-of-the-wild/,12275926,201703,#N/A,0
/gta-5/,5766722,201703,5702077,1
/horizon-zero-dawn/,3584099,201703,#N/A,2
/mass-effect-andromeda/,3274523,201703,#N/A,3
/the-witcher-3-wild-hunt/,2966936,201703,2951014,4
/the-elder-scrolls-5-skyrim/,2821430,201703,3013462,5
/final-fantasy-15/,2723713,201703,3494643,6
/pokemon-go/,2657578,201703,2344255,7
/pokemon-sun-pokemon-moon/,1608038,201703,1886448,8
/fallout-4/,1514435,201703,1514435,9
/the-legend-of-zelda-breath-of-the-wild/,13362473,201704,12275926,0
/gta-5/,5729044,201704,5766722,1
/persona-5/,4243331,201704,#N/A,2
/mass-effect-andromeda/,3495281,201704,3274523,3
/the-elder-scrolls-5-skyrim/,2895877,201704,2821430,4
/the-witcher-3-wild-hunt/,2894355,201704,2966936,5
/pokemon-go/,2310768,201704,2657578,6
/horizon-zero-dawn/,2227933,201704,3584099,7
/final-fantasy-15/,1826935,201704,2723713,8
/kingdom-hearts-hd-15-remix/,1821683,201704,#N/A,9
/the-legend-of-zelda-breath-of-the-wild/,15239197,201705,13362473,0
/gta-5/,6637776,201705,5729044,1
/persona-5/,5099453,201705,4243331,2
/the-witcher-3-wild-hunt/,3494622,201705,2894355,3
/the-elder-scrolls-5-skyrim/,3431521,201705,2895877,4
/pokemon-go/,2252333,201705,2310768,5
/fallout-4/,2104607,201705,#N/A,6
/horizon-zero-dawn/,1941290,201705,2227933,7
/final-fantasy-15/,1920512,201705,1826935,8
/mass-effect-andromeda/,1882853,201705,3495281,9
/the-legend-of-zelda-breath-of-the-wild/,11701500,201706,15239197,0
/gta-5/,7510998,201706,6637776,1
/the-witcher-3-wild-hunt/,3371101,201706,3494622,2
/e3/,3330793,201706,#N/A,3
/persona-5/,3150960,201706,5099453,4
/the-elder-scrolls-5-skyrim/,3111284,201706,3431521,5
/fallout-4/,1848689,201706,2104607,6
/horizon-zero-dawn/,1780746,201706,1941290,7
/pokemon-sun-pokemon-moon/,1633593,201706,#N/A,8
/pokemon-go/,1541032,201706,2252333,9
/the-legend-of-zelda-breath-of-the-wild/,10976864,201707,11701500,0
/gta-5/,7295702,201707,7510998,1
/the-witcher-3-wild-hunt/,2852332,201707,3371101,2
/the-elder-scrolls-5-skyrim/,2829759,201707,3111284,3
/persona-5/,2239302,201707,3150960,4
/pokemon-go/,1678550,201707,1541032,5
/pokemon-sun-pokemon-moon/,1576499,201707,1633593,6
/fallout-4/,1575481,201707,1848689,7
/horizon-zero-dawn/,1459210,201707,1780746,8
/final-fantasy-15/,1309606,201707,#N/A,9
/the-legend-of-zelda-breath-of-the-wild/,8701416,201708,10976864,0
/gta-5/,6429925,201708,7295702,1
/the-elder-scrolls-5-skyrim/,2512468,201708,2829759,2
/the-witcher-3-wild-hunt/,2211369,201708,2852332,3
/persona-5/,1709203,201708,2239302,4
/pokemon-sun-pokemon-moon/,1471430,201708,1576499,5
/fallout-4/,1391542,201708,1575481,6
/pokemon-go/,1180255,201708,1678550,7
/horizon-zero-dawn/,1141662,201708,1459210,8
/final-fantasy-15/,1113204,201708,1309606,9
